campaign_id,campaign_name,city_target,channel,start_date,end_date,budget,spend
1,Reactive foreground capacity,Adelaide,Search,2025-11-04,2025-12-03,29307.22,27779.56
2,Realigned transitional monitoring,Sydney,Display,2025-11-01,2025-12-01,32010.21,28219.6
3,Innovative motivating core,Perth,Social,2025-02-14,2025-03-14,18187.35,15949.34
4,Universal well-modulated Internet solution,Perth,Search,2025-12-12,2026-01-17,30899.14,27677.52
5,Down-sized coherent workforce,Canberra,Social,2026-01-29,2026-03-04,21246.95,19273.95
6,Switchable bi-directional methodology,Brisbane,Email,2026-04-02,2026-04-20,13780.94,12435.12
7,Streamlined directional data-warehouse,Adelaide,Display,2025-02-07,2025-03-07,14953.52,14629.79
8,Virtual multimedia open architecture,Brisbane,Display,2026-03-30,2026-04-26,8183.77,7679.87
9,Profound coherent leverage,Melbourne,Email,2025-05-26,2025-06-12,16897.88,14513.82
10,Extended 4thgeneration archive,Sydney,Display,2025-01-14,2025-02-08,26086.75,22897.45
11,Optimized asymmetric capacity,Melbourne,Search,2026-05-10,2026-06-11,39689.28,39357.68
12,Proactive systematic complexity,Canberra,Display,2025-01-07,2025-01-25,14457.87,13178.89
13,De-engineered analyzing standardization,Brisbane,Display,2025-12-22,2026-01-22,12172.21,11632.06
14,Reactive explicit Graphical User Interface,Adelaide,Social,2025-12-11,2026-01-12,7239.82,7017.93
15,Total global attitude,Brisbane,Social,2025-09-07,2025-09-23,8247.1,7732.27
16,Front-line encompassing firmware,Melbourne,Search,2025-11-16,2025-12-30,20917.66,18190.35
17,Stand-alone 24/7 orchestration,Adelaide,Email,2025-06-17,2025-07-12,36268.63,31038.16
18,Horizontal responsive challenge,Sydney,Search,2025-08-25,2025-09-29,16407.82,15083.64
19,Multi-channeled solution-oriented Internet solution,Melbourne,Email,2026-05-17,2026-06-07,30418.37,29885.67
20,Enhanced dedicated initiative,Adelaide,Display,2026-01-28,2026-02-12,23898.66,20745.0
21,Robust even-keeled algorithm,Adelaide,Search,2026-03-13,2026-04-10,32491.01,27748.1
22,Multi-lateral bandwidth-monitored forecast,Melbourne,Search,2025-11-25,2026-01-03,35492.07,33573.07
23,Re-engineered explicit parallelism,Melbourne,Display,2025-05-12,2025-06-18,16110.17,14577.76
24,Proactive tangible budgetary management,Melbourne,Search,2025-10-04,2025-11-11,33870.11,29393.09
25,Vision-oriented bifurcated definition,Canberra,Search,2025-02-08,2025-03-12,7100.02,6886.18
26,Digitized full-range leverage,Canberra,Social,2025-10-05,2025-11-07,13012.85,12908.85
27,Public-key stable functionalities,Perth,Social,2025-06-07,2025-07-13,10866.03,9858.74
28,Optional bifurcated time-frame,Canberra,Social,2025-11-22,2025-12-06,10986.74,10822.26
29,Advanced zero tolerance hub,Melbourne,Email,2025-09-18,2025-10-06,20698.11,17597.55
30,Optimized intangible functionalities,Perth,Email,2026-04-27,2026-05-25,30817.38,29284.09
